ID_MASSA;NOME_COMPLETO;NOME_USUARIO;EMAIL;SENHA;CPF;TELEFONE;CEP;RUA;NUMERO;BAIRRO;CIDADE;ESTADO;PAIS;DATA_NASCIMENTO;BANDEIRA_CARTAO;TIER_CARTAO;DIA_VENCIMENTO;NOME_IMPRESSO;PLANO_CONTA;CHAVE_PIX;NOME_TUTOR;CPF_TUTOR
="C_0001";="Heitor Martins";="heitor.martins";="martins.heitor@aol.com";="admin999";="87533086465";="56420899325";="00891426";="Rodovia Albuquerque";="1437";="Merseyside";="Yasmin do Norte";="TO";="Brasil";="2005-01-24";="HIPERCARD";="PLATINUM";="10";="HEITOR MARTINS";="PRO";="87533086465";="";=""
="C_0002";="Dalila Pereira";="dalila.pereira";="pereira.dalila@ig.com.br";="admin999";="34830475226";="554698529997";="98299314";="Avenida Elisa";="154";="Clwyd";="Moraes do Descoberto";="MG";="Brasil";="1981-11-13";="MASTERCARD";="GOLD";="20";="DALILA PEREIRA";="FREE";="34830475226";="";=""
="C_0003";="Pedro Nogueira";="pedro.nogueira";="nogueira.pedro@gmail.com";="admin999";="00273860585";="0790748120";="58763017";="Rua Carvalho";="3975";="Borders";="Rafael do Norte";="RS";="Brasil";="1992-09-22";="MASTERCARD";="BLACK";="15";="PEDRO NOGUEIRA";="PRO";="00273860585";="";=""
="C_0004";="Fabricio Braga";="fabricio.braga";="braga.fabricio@hotmail.com";="admin999";="37044231578";="8630352043";="39563022";="Rua Braga";="9008";="Shropshire";="Marcos de Nossa Senhora";="PA";="Brasil";="1971-12-15";="AMEX";="PLATINUM";="20";="FABRICIO BRAGA";="FREE";="37044231578";="";=""
="C_0005";="Washington Oliveira";="washington.oliveira";="oliveira.washington@fastmail.com";="admin999";="95860922590";="552481499689";="26486797";="Marginal Liz";="27740";="Lancashire";="Moraes do Sul";="AP";="Brasil";="1967-03-04";="HIPERCARD";="BLACK";="10";="WASHINGTON OLIVEIRA";="FREE";="95860922590";="";=""
="C_0006";="Julia Reis";="julia.reis";="reis.julia@yahoo.com";="admin999";="53043536762";="6784601710";="54404076";="Travessa Barros";="2409";="Rutland";="Pereira do Sul";="PI";="Brasil";="1980-08-08";="VISA";="BRONZE";="15";="JULIA REIS";="FREE";="53043536762";="";=""
="C_0007";="Morgana Macedo";="morgana.macedo";="macedo.morgana@bol.com.br";="admin999";="05043431814";="559327478560";="52723950";="Alameda Reis";="3038";="County Fermanagh";="Lara de Nossa Senhora";="RO";="Brasil";="1987-03-28";="VISA";="GOLD";="25";="MORGANA MACEDO";="VIP_BLACK";="05043431814";="";=""
="C_0008";="Tertuliano Silva";="tertuliano.silva";="silva.tertuliano@yahoo.com";="admin999";="95962548205";="557697696713";="34993611";="Marginal Xavier";="369";="Lincolnshire";="Tertuliano de Nossa Senhora";="SE";="Brasil";="1985-03-27";="ELO";="GOLD";="25";="TERTULIANO SILVA";="PRO";="95962548205";="";=""
="C_0009";="Alicia Moraes";="alicia.moraes";="moraes.alicia@live.com";="admin999";="17763275197";="0519414664";="37604425";="Alameda Silva";="7647";="Wiltshire";="Costa do Sul";="AM";="Brasil";="1981-04-18";="MASTERCARD";="GOLD";="25";="ALICIA MORAES";="FREE";="17763275197";="";=""
="C_0010";="Sarah Reis";="sarah.reis";="reis.sarah@inbox.com";="admin999";="38839254897";="554970824925";="32799143";="Rodovia Macedo";="278";="Rutland";="Batista do Norte";="CE";="Brasil";="1972-12-10";="HIPERCARD";="PLATINUM";="25";="SARAH REIS";="FREE";="38839254897";="";=""
